LIMIT_BAL,AGE,topay,BILLAMT,PAYMENT
80000,37,0,331191,18000
20000,45,2,63565,16458
20000,45,-2,77850,28395
20000,22,19,9900,0
170000,37,-2,20675,16995
180000,40,-1,4700,184997
210000,33,-5,147767,93145
200000,32,-6,74386,2000
50000,29,4,107866,9146
230000,32,12,1105736,34500
270000,27,2,127356,28000
320000,58,-12,1100,434
70000,27,12,348745,14829
50000,25,-1,192704,10813
210000,28,1,924366,241968
80000,38,0,95390,6121
50000,27,0,169234,7950
150000,33,-12,-18,698
390000,37,-12,10998,10952
10000,55,13,39295,3200
50000,26,0,279522,10791
310000,32,2,118406,17000
50000,47,-9,0,0
20000,36,3,74357,3200
300000,54,-9,1702,1702
240000,34,-6,81757,90344
60000,38,6,304726,9600
240000,43,-12,25934,23646
230000,47,-7,2640,1960
30000,33,0,176044,8733
10000,21,-2,37899,5726
270000,26,-3,266588,151738
100000,37,-9,0,150
80000,28,-2,320808,87952
20000,43,1,44934,3478
50000,40,0,267844,19480
210000,32,-6,25756,21456
70000,38,0,382738,14228
500000,36,0,772001,161666
110000,23,0,267839,20500
50000,23,2,217489,9498
20000,24,7,50594,6000
220000,51,-12,14238,12118
60000,31,-1,106932,1027
60000,45,-1,243996,96234
60000,31,7,304297,52837
260000,39,8,866533,27666
220000,32,-5,144961,253242
20000,29,0,94465,6509
30000,45,12,168317,8000
10000,25,0,45602,7967
120000,38,0,153922,6457
240000,32,-4,360239,10932
20000,30,-4,10070,6566
50000,34,0,292825,12845
340000,49,-2,1436362,477224
130000,38,0,427624,14286
310000,36,-5,3311,3516
210000,26,0,953593,48414
160000,44,-12,1170,3852
50000,40,4,335378,11575
150000,41,-4,388678,211748
60000,25,0,94232,5600
140000,29,0,457075,14920
80000,44,-5,12186,11148
20000,53,0,115029,6046
60000,26,-6,3786,3015
330000,40,0,1457444,53139
180000,63,-10,1344,0
100000,53,-9,0,0
230000,61,-4,2500,0
230000,52,0,728126,125456
450000,45,0,861549,36087
50000,42,-1,58904,21883
290000,36,0,389258,18500
360000,39,-12,4201,0
450000,36,-12,0,0
70000,53,0,86434,10997
80000,49,0,491226,20700
210000,31,-6,1956,1956
100000,37,0,462851,15303
50000,47,0,296021,12220
50000,25,33,216955,4000
360000,29,-5,5317,12391
270000,33,-2,165015,53977
300000,42,-3,-300,1388
10000,45,7,27895,6242
640000,34,-1,490720,365694
100000,66,0,592295,24339
140000,29,2,783693,36341
180000,33,6,992106,37000
180000,26,0,48017,19629
160000,25,0,28161,4528
200000,29,-2,4118,3163
30000,22,0,117562,3760
300000,34,4,7500,0
80000,25,-1,155006,56029
350000,36,-6,98409,93907
180000,29,0,90226,7976
360000,31,-12,181792,188236
230000,35,0,923231,57022
100000,25,-4,46025,17272
100000,30,0,273688,14000
490000,52,0,733784,28024
230000,30,-2,7163,3748
150000,26,4,316074,15644
230000,51,0,340647,15554
400000,35,-11,68690,69062
80000,23,0,339098,49268
20000,28,8,61312,6058
180000,47,-6,4896,3423
250000,26,-12,1957,712
80000,29,0,312459,28079
110000,44,12,245710,10900
70000,31,-12,146228,176410
130000,29,-3,7901,41379
30000,24,-2,77326,3623
280000,24,-5,24708,20675
70000,29,0,414400,17940
100000,30,0,345276,23833
220000,36,8,1150381,37900
120000,28,8,685150,21970
130000,46,0,584005,35000
100000,31,5,474004,17160
30000,25,31,13800,0
80000,43,0,378989,14329
230000,66,-9,0,142
310000,29,0,232621,10724
50000,45,-3,5136,5005
20000,51,0,100186,5106
20000,23,0,84702,5700
410000,37,-1,145802,36858
200000,42,2,1036473,43250
327680,42,0,1790449,57108
420000,26,5,2154001,62930
50000,26,11,166445,7431
390000,41,0,1301925,47106
260000,56,-5,3454,2058
140000,27,0,833532,40300
120000,32,0,473694,22740
210000,41,-1,69667,21200
500000,44,-3,139276,71637
80000,28,-4,5668,5831
180000,28,-6,58336,65127
250000,54,-5,8065,7285
80000,26,0,285381,10727
60000,28,6,202144,9719
40000,26,-6,6159,5605
90000,23,-3,19602,16092
220000,31,0,486062,20000
260000,27,0,562799,43142
270000,31,-2,162861,82090
360000,61,2,1802240,66750
520000,55,-6,68834,71645
20000,51,0,120550,13163
180000,46,-12,25908,24003
60000,48,0,281501,10500
270000,39,0,545891,21082
150000,30,-12,556509,338272
50000,23,0,237024,23706
130000,31,5,571825,15760
40000,27,-5,697,697
220000,34,-9,102924,9253
30000,23,0,175015,9714
50000,36,0,213104,7495
200000,33,0,136229,32387
160000,34,0,245909,126189
120000,51,2,647027,40329
70000,28,8,54043,2100
250000,47,-12,40038,32734
350000,31,0,351284,11044
110000,39,13,245385,7763
150000,46,0,839687,30000
20000,24,0,27636,14366
340000,34,-1,1723985,64466
30000,33,11,160262,8300
180000,28,-1,111172,70228
40000,25,-4,4577,2543
210000,25,-9,0,0
330000,37,-12,15602,22514
170000,44,-6,57266,60340
110000,24,2,263661,12792
280000,49,0,1290142,47110
20000,40,-2,50761,19314
230000,51,0,548077,15836
50000,46,0,252495,9789
90000,23,0,451392,16586
80000,26,-4,11896,7739
200000,39,-2,105941,86443
200000,37,0,522226,20454
220000,44,-12,0,0
290000,29,0,51818,6433
140000,34,0,744494,31014
300000,34,-12,54124,54440
230000,36,0,85824,9287
50000,55,2,94577,4257
60000,47,0,194737,13777
210000,27,-6,5708,1008
70000,42,24,374120,15586
100000,27,0,47866,18866
290000,45,-4,2531,3695
50000,28,7,287533,10121
360000,49,-6,22311,4025
120000,50,6,529120,25400
230000,25,0,322404,14000
70000,23,0,201212,9131
230000,32,0,129281,20000
200000,27,0,1181268,38929
160000,51,2,429269,25000
90000,29,0,551049,21581
270000,28,-3,143620,77166
50000,26,3,205507,7601
240000,28,-6,238635,200686
50000,46,0,134747,6859
20000,22,0,113403,12786
610000,50,-5,65025,46363
10000,48,2,38482,11106
100000,52,11,78271,4950
30000,36,-3,2786,1950
500000,25,0,171128,35581
120000,38,-6,25080,24100
180000,50,-5,5432,4276
500000,36,-3,118297,37104
50000,37,11,97042,8600
50000,50,-6,20176,18603
300000,30,0,466739,125506
500000,42,0,942883,371355
100000,28,-2,183853,223623
500000,45,-12,475252,482473
120000,53,-2,3639,2080
30000,35,12,84293,3331
80000,35,0,305852,15000
180000,43,0,981085,38400
200000,39,-6,29759,37369
80000,40,-5,61032,25027
40000,55,32,14400,0
170000,23,-1,169419,43370
230000,38,-1,17599,4689
200000,29,0,29102,4700
20000,24,-3,22256,16690
350000,47,9,1731784,50300
150000,37,-2,1776,596
260000,35,-9,9928,10261
120000,29,0,260054,9500
50000,32,13,249240,9900
290000,36,0,876886,24615
90000,36,-9,11979,1980
40000,28,0,143083,42189
380000,33,-6,228519,290221
100000,30,0,298459,11800
500000,37,-4,114715,107260
470000,32,0,926639,39000
280000,30,12,676094,27500
80000,39,2,417422,25350
180000,37,-4,842502,301524
200000,38,3,23479,22354
180000,23,0,34437,13829
20000,44,-12,21242,21288
200000,32,-3,26425,19512
130000,29,0,183958,9167
80000,55,0,321441,29051
80000,48,-1,32604,8952
310000,29,-4,52896,50686
300000,27,-12,47638,53840
240000,28,-4,28068,28068
20000,30,0,108269,4306
170000,48,-2,2362,1730
60000,36,-6,20490,21411
50000,45,-10,1189,300
50000,41,0,264561,11700
50000,24,2,104505,5287
230000,35,-3,70729,25944
50000,29,19,2400,0
20000,32,2,118504,5820
80000,29,0,230752,17196
220000,26,-6,16731,17927
60000,23,0,284844,15220
30000,44,-12,2180,0
400000,40,-5,226419,230504
80000,43,0,336121,11543
440000,28,5,1146664,35854
120000,45,0,544878,133310
130000,39,-4,40589,2500
210000,34,0,111567,12000
350000,33,-5,108452,209271
160000,30,-7,9786,6925
50000,24,-2,77930,4040
230000,32,-6,11305,12755
110000,29,0,217363,14010
30000,43,-7,29340,25068
20000,40,6,57554,4200
30000,23,2,151579,16028
260000,31,0,710622,32150
50000,23,4,213747,4195
240000,37,-3,73424,71299
30000,28,8,46892,4661
80000,25,-9,0,0
500000,45,-5,40201,36844
100000,42,-2,298709,28662
160000,29,2,28102,6343
200000,45,-12,12695,12776
150000,41,-3,7920,4950
80000,23,-1,40273,23748
70000,62,2,305900,11475
50000,26,-1,114791,24969
20000,49,0,69290,4417
20000,45,-12,3211,1560
550000,47,-2,230325,35000
200000,53,-3,9258,6067
80000,26,-2,158798,47007
200000,41,-6,39583,38238
100000,31,0,407339,21000
150000,28,4,315501,14100
160000,30,-4,828563,17733
20000,24,7,117174,4767
20000,32,28,14400,0
30000,22,-5,20477,19426
150000,37,-4,10575,5591
30000,45,-4,5340,1170
20000,24,-6,28531,29087
70000,30,0,34797,4980
20000,26,0,96617,4730
360000,28,-4,200138,122220
180000,44,-3,26459,24081
30000,42,0,199327,9164
80000,34,6,172717,8838
260000,28,0,1122241,42124
200000,30,-12,12369,13619
130000,27,-5,6103,5354
190000,55,-6,14996,14996
150000,35,0,188010,26175
50000,27,0,95919,25086
130000,37,8,515505,18400
50000,24,2,182927,10400
140000,23,-12,224756,10695
50000,25,-6,96676,5000
140000,24,-6,4176,4176
230000,28,-12,7431,7796
140000,31,14,777852,30700
180000,29,2,684985,24100
260000,34,-12,9219,3982
200000,34,-7,10262,6625
30000,28,-7,780,780
260000,33,-12,15750,15979
150000,39,6,716997,22393
320000,27,-2,153421,57355
90000,26,0,184291,95000
170000,27,0,206260,29394
430000,33,0,1644588,243206
100000,26,-10,25908,0
110000,32,2,444141,13698
170000,41,0,593571,24500
30000,30,-1,138800,35914
170000,24,0,299649,32000
120000,49,-5,139144,20794
30000,38,2,381140,68460
90000,39,0,229657,8128
130000,26,6,769359,33600
50000,26,2,252682,11536
400000,44,-6,145331,141048
210000,33,-6,1896,1896
50000,41,0,182877,13604
280000,39,-8,32870,166549
420000,25,3,367178,31108
200000,33,0,1162808,36500
60000,28,6,357249,34800
300000,30,-12,3844,3009
80000,29,-1,288272,11665
320000,37,-12,31600,20799
190000,47,-6,45394,45785
80000,53,-6,12466,1000
120000,27,2,179613,16500
130000,36,0,586328,33003
140000,48,0,1512640,58200
30000,43,0,150062,5923
360000,32,-3,16970,10268
500000,41,-6,8622,6280
210000,38,0,489410,23700
90000,35,0,402188,15540
570000,30,-2,1053170,251113
40000,27,-3,262269,118505
10000,22,-2,28336,3041
200000,25,-7,199158,106780
180000,28,0,258973,12002
80000,42,2,116117,21548
370000,37,-12,52114,39736
90000,43,4,425736,40204
360000,29,-2,81962,39030
110000,55,0,102571,6900
200000,33,0,433961,24993
50000,28,2,69643,7400
300000,43,0,879296,31120
300000,38,-12,0,0
90000,47,0,172206,12000
80000,35,0,402660,16523
30000,54,-6,41182,25147
80000,29,-3,193822,42950
50000,23,7,99487,13500
50000,31,-9,0,0
80000,26,0,428196,14608
80000,25,0,516777,39593
120000,26,-6,22164,20270
240000,35,-12,3228,20353
360000,32,0,532523,121418
20000,42,-6,33821,25764
70000,25,11,334664,12135
60000,35,1,296402,66221
190000,31,-9,1655,35607
290000,53,0,1635456,64300
300000,31,0,845982,227644
160000,32,0,933544,35100
180000,35,0,663172,27200
200000,41,-6,3480,3599
250000,35,-12,1590,268
400000,42,-3,123904,124484
30000,23,5,168156,8234
150000,49,0,124646,16712
80000,41,2,304916,11852
50000,47,0,251795,12182
80000,46,0,258394,10403
240000,65,-3,177857,174557
500000,43,-2,346142,245003
30000,27,12,84631,3800
210000,44,0,463385,18900
140000,31,-7,6107,1207
150000,27,-6,11611,7147
260000,34,0,698977,23430
310000,36,-6,54143,55110
280000,57,4,23397,10579
20000,45,0,116308,8972
230000,29,-5,22411,26066
30000,32,9,176359,4296
30000,49,0,174753,20842
20000,56,-2,7517,5492
100000,29,-3,264295,93395
50000,34,0,72158,23407
200000,29,0,198009,32295
60000,57,0,144567,12476
20000,28,0,116920,8981
100000,49,-12,4953,3692
30000,56,2,170793,7475
10000,42,2,46524,14001
220000,49,-12,5028,5028
160000,35,-9,0,1404
320000,30,-12,11332,21416
90000,25,0,378423,16000
180000,42,2,175495,8008
150000,26,0,435635,23819
50000,28,-12,-2000,2000
200000,40,0,431712,19700
110000,46,0,235326,10000
50000,47,0,114660,9000
80000,35,0,207283,9471
200000,31,4,462099,18228
210000,33,-9,0,0
210000,30,0,359492,48326
80000,24,3,32714,13032
60000,28,0,167171,12400
60000,26,0,224515,8661
180000,34,-5,48679,19067
190000,26,2,746552,46820
150000,33,0,819828,32030
10000,23,-9,0,0
100000,29,-9,3300,6432
100000,27,4,250213,11371
450000,39,-2,153489,73864
240000,36,4,1398375,64607
30000,23,2,166450,11000
160000,41,3,173563,8900
220000,39,-9,0,0
220000,47,15,1212160,23004
20000,31,0,118529,6208
120000,45,0,75574,27039
70000,36,2,185906,8204
160000,40,-6,32540,31879
90000,39,-1,6917,2124
240000,26,-2,13699,9232
110000,26,0,478632,14817
60000,49,0,270693,10943
200000,26,-10,-706,0
130000,33,0,496353,14482
360000,35,-8,1392,14276
10000,48,0,33785,2358
50000,24,11,310563,8005
70000,30,12,346682,14600
110000,28,0,103208,5367
290000,26,0,405707,56122
100000,27,0,477762,17693
100000,24,-5,37163,24042
30000,45,0,135165,11597
230000,42,-12,2580,2580
30000,22,4,155853,5910
20000,42,6,115056,6536
200000,54,0,975215,39000
90000,24,-7,19548,19045
60000,44,-10,2802,0
280000,38,6,1003378,28924
20000,24,2,113845,8000
